"Transaction Id","Order Date","Ship Date","Ship Mode","Customer Name","Segment","Country","City","State","Region","Product ID","Category","Sub-category","Product Name","Sales","Quantity","Profit","Payment Mode"
"T00001","2023-07-01","2023-07-03","Standard Class","Riya Gupta","Corporate","India","Bhopal","Madhya Pradesh","Central","P2443","Furniture","Table","Furniture - Table - 186","665.02","1","4.56","EMI"
"T00002","2023-01-03","2023-01-07","First Class","Krishna Reddy","Consumer","India","Pune","Maharashtra","West","P8813","Furniture","Furnishing","Furniture - Furnishing - 315","1210.45","4","306.2","Debit Card"
"T00003","2023-07-30","2023-07-31","First Class","Kritika Jain","Home Office","India","Nagpur","Maharashtra","West","P6716","Furniture","Table","Furniture - Table - 191","1768.14","7","-344.69","Debit Card"
"T00004","2023-05-22","2023-05-24","Same Day","Arjun Mehta","Home Office","India","Ludhiana","Punjab","North","P9194","Furniture","Table","Furniture - Table - 182","4560.4","2","-287.19","EMI"
"T00005","2023-07-19","2023-07-23","First Class","Riya Gupta","Consumer","India","Jaipur","Rajasthan","North","P4703","Furniture","Table","Furniture - Table - 423","1727.1","1","843.69","UPI"
"T00006","2023-12-16","2023-12-17","Standard Class","Aman Kapoor","Corporate","India","Delhi","Delhi","North","P3895","Technology","Accessories","Technology - Accessories - 162","1987.5","3","-13","Credit Card"
"T00007","2023-10-28","2023-10-29","Second Class","Rohan Chatterjee","Home Office","India","Patna","Bihar","East","P7712","Technology","Accessories","Technology - Accessories - 382","2630.09","3","-285.67","Credit Card"
"T00008","2023-05-13","2023-05-16","Second Class","Arjun Mehta","Consumer","India","Nagpur","Maharashtra","West","P7811","Office Supplies","Storage","Office Supplies - Storage - 137","833.04","5","344.91","EMI"
"T00009","2023-08-27","2023-08-31","First Class","Riya Gupta","Home Office","India","Patna","Bihar","East","P8085","Furniture","Table","Furniture - Table - 472","4990.71","9","-888.38","EMI"
"T00010","2023-11-23","2023-11-26","Standard Class","Priya Nair","Corporate","India","Surat","Gujarat","West","P7967","Office Supplies","Binder","Office Supplies - Binder - 266","3226.88","6","116.05","UPI"
"T00011","2023-01-15","2023-01-19","Second Class","Krishna Reddy","Home Office","India","Vijayawada","Andhra Pradesh","South","P4758","Technology","Accessories","Technology - Accessories - 339","4007.42","4","-697.45","Cash"
"T00012","2023-06-27","2023-06-28","Standard Class","Ishaan Das","Corporate","India","Surat","Gujarat","West","P6866","Furniture","Book-case","Furniture - Book-case - 148","3421.28","9","1426.03","Debit Card"
"T00013","2023-01-04","2023-01-06","First Class","Krishna Reddy","Corporate","India","Indore","Madhya Pradesh","Central","P8932","Technology","Accessories","Technology - Accessories - 911","350.93","4","148.88","Credit Card"
"T00014","2023-05-23","2023-05-25","Second Class","Ishaan Das","Corporate","India","Coimbatore","Tamil Nadu","South","P3019","Technology","Phone","Technology - Phone - 506","1385.95","7","-189.66","EMI"
"T00015","2023-12-13","2023-12-16","Same Day","Kabir Khan","Corporate","India","Jaipur","Rajasthan","North","P6674","Furniture","Furnishing","Furniture - Furnishing - 110","3195.09","6","1359.75","Credit Card"
